date,close,high,low,open
2017.03.06 시작09:30,139.34,139.77,138.5959,139.365
2017.03.07 시작09:30,139.52,139.98,138.79,139.06
2017.03.08 시작09:30,139.0,139.8,138.82,138.95
2017.03.09 시작09:30,138.68,138.79,137.05,138.74
2017.03.10 시작09:30,139.14,139.3571,138.64,139.25
2017.03.13 시작09:30,139.2,139.43,138.82,138.85
2017.03.14 시작09:30,138.99,139.65,138.84,139.3
2017.03.15 시작09:30,140.46,140.7501,139.025,139.41
2017.03.16 시작09:30,140.69,141.02,140.26,140.72
2017.03.17 시작09:30,139.99,141.0,139.89,141.0
2017.03.20 시작09:30,141.46,141.5,140.23,140.4
2017.03.21 시작09:30,139.84,142.8,139.73,142.11
2017.03.22 시작09:30,141.42,141.6,139.76,139.845
2017.03.23 시작09:30,140.92,141.5844,140.61,141.26
2017.03.24 시작09:30,140.64,141.74,140.35,141.5
2017.03.27 시작09:30,140.88,141.22,138.62,139.39
2017.03.28 시작09:30,143.8,144.04,140.62,140.91
2017.03.29 시작09:30,144.12,144.49,143.19,143.68
2017.03.30 시작09:30,143.93,144.5,143.5,144.19
2017.03.31 시작09:30,143.66,144.27,143.01,143.72
2017.04.03 시작09:30,143.7,144.12,143.05,143.71
2017.04.04 시작09:30,144.77,144.89,143.17,143.25
2017.04.05 시작09:30,144.02,145.46,143.81,144.22
2017.04.06 시작09:30,143.66,144.52,143.45,144.29
2017.04.07 시작09:30,143.34,144.18,143.27,143.73
2017.04.10 시작09:30,143.17,143.8792,142.9,143.6
2017.04.11 시작09:30,141.63,143.35,140.06,142.94
2017.04.12 시작09:30,141.8,142.15,141.01,141.6
2017.04.13 시작09:30,141.05,142.38,141.05,141.91
2017.04.17 시작09:30,141.83,141.88,140.87,141.48
2017.04.18 시작09:30,141.2,142.04,141.11,141.41
2017.04.19 시작09:30,140.68,142.0,140.45,141.88
2017.04.20 시작09:30,142.44,142.92,141.16,141.22
